experiment_id,run_name,attention_type,config_path,checkpoint_status,diagnostics_status,run_summary_status,gauntlet_status,promotion_status,supported_hook_sites,unsupported_hook_sites,posthoc_probe_status,notes
E002_multitrack_qkv_shift_register,multi_qkv_layer_shift_3track_30m_seed1,multi_qkv_layer_shift,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_layer_shift_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,multi_qkv_position_rotation_3track_global_30m_seed1,multi_qkv_position_rotation_3track_global,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_position_rotation_3track_global_30m_seed1.yaml,available,available,available,missing,missing,"resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;track_q[layer, track];track_k[layer, track];track_v[layer, track];selected_track[layer];track_out[layer]",,checkpoint_recompute_available,
E002_multitrack_qkv_shift_register,multi_qkv_softmix_3track_30m_seed1,multi_qkv_softmix,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_softmix_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,multi_qkv_static_3track_30m_seed1,multi_qkv_static,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_static_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,multi_qkv_static_3track_global_30m_seed1,multi_qkv_static_3track_global,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_static_3track_global_30m_seed1.yaml,available,available,available,missing,missing,"resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;track_q[layer, track];track_k[layer, track];track_v[layer, track];selected_track[layer];track_out[layer]",,checkpoint_recompute_available,
E002_multitrack_qkv_shift_register,multi_qkv_train_and_layer_shift_3track_30m_seed1,multi_qkv_train_and_layer_shift,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_train_and_layer_shift_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,multi_qkv_train_rotation_3track_global_30m_seed1,multi_qkv_train_rotation_3track_global,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_train_rotation_3track_global_30m_seed1.yaml,available,available,available,missing,missing,"resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;track_q[layer, track];track_k[layer, track];track_v[layer, track];selected_track[layer];track_out[layer]",,checkpoint_recompute_available,
E002_multitrack_qkv_shift_register,multi_qkv_train_shift_3track_30m_seed1,multi_qkv_train_shift,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_train_shift_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,multi_qkv_train_shift_warmup_3track_30m_seed1,multi_qkv_train_shift_warmup,configs/experiments/E002_multitrack_qkv_shift_register/multi_qkv_train_shift_warmup_3track_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,,,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E002_multitrack_qkv_shift_register,standard_30m_seed1,standard,configs/experiments/E002_multitrack_qkv_shift_register/standard_30m_seed1.yaml,checkpoint_unavailable,not_recorded,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_unavailable,checkpoint_unavailable; not_recorded; run_summary_missing
E002_multitrack_qkv_shift_register,standard_refactor_control_30m_seed1,standard,configs/experiments/E002_multitrack_qkv_shift_register/standard_refactor_control_30m_seed1.yaml,available,not_recorded,available,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_recompute_available,not_recorded
