experiment_id,run_name,attention_type,config_path,checkpoint_status,diagnostics_status,run_summary_status,gauntlet_status,promotion_status,supported_hook_sites,unsupported_hook_sites,posthoc_probe_status,notes
E003_qkv_architecture_gauntlet,differential_qkv_anti_value_30m_seed1,differential_qkv_anti_value,configs/experiments/E003_qkv_architecture_gauntlet/differential_qkv_anti_value_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;pos_q[layer];pos_k[layer];pos_v[layer];neg_q[layer];neg_k[layer];neg_v[layer];pos_out[layer];neg_out[layer];branch_delta[layer];lambda[layer],,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E003_qkv_architecture_gauntlet,differential_qkv_anti_value_30m_seed1_rung020,differential_qkv_anti_value,configs/experiments/E003_qkv_architecture_gauntlet/differential_qkv_anti_value_30m_seed1_rung020.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;pos_q[layer];pos_k[layer];pos_v[layer];neg_q[layer];neg_k[layer];neg_v[layer];pos_out[layer];neg_out[layer];branch_delta[layer];lambda[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,differential_qkv_anti_value_30m_seed1_rung150,differential_qkv_anti_value,configs/experiments/E003_qkv_architecture_gauntlet/differential_qkv_anti_value_30m_seed1_rung150.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;pos_q[layer];pos_k[layer];pos_v[layer];neg_q[layer];neg_k[layer];neg_v[layer];pos_out[layer];neg_out[layer];branch_delta[layer];lambda[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,differential_qkv_anti_value_30m_seed1_rung500,differential_qkv_anti_value,configs/experiments/E003_qkv_architecture_gauntlet/differential_qkv_anti_value_30m_seed1_rung500.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;pos_q[layer];pos_k[layer];pos_v[layer];neg_q[layer];neg_k[layer];neg_v[layer];pos_out[layer];neg_out[layer];branch_delta[layer];lambda[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,scope_gated_qkv_30m_seed1,scope_gated_qkv,configs/experiments/E003_qkv_architecture_gauntlet/scope_gated_qkv_30m_seed1.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];scope_out[layer];gate[layer];content_scope_product[layer];gated_content[layer],,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E003_qkv_architecture_gauntlet,scope_gated_qkv_30m_seed1_rung020,scope_gated_qkv,configs/experiments/E003_qkv_architecture_gauntlet/scope_gated_qkv_30m_seed1_rung020.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];scope_out[layer];gate[layer];content_scope_product[layer];gated_content[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,scope_gated_qkv_30m_seed1_rung150,scope_gated_qkv,configs/experiments/E003_qkv_architecture_gauntlet/scope_gated_qkv_30m_seed1_rung150.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];scope_out[layer];gate[layer];content_scope_product[layer];gated_content[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,scope_gated_qkv_30m_seed1_rung500,scope_gated_qkv,configs/experiments/E003_qkv_architecture_gauntlet/scope_gated_qkv_30m_seed1_rung500.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];scope_out[layer];gate[layer];content_scope_product[layer];gated_content[layer],,checkpoint_recompute_available,run_summary_missing
E003_qkv_architecture_gauntlet,standard_refactor_control_30m_seed1,standard,configs/experiments/E003_qkv_architecture_gauntlet/standard_refactor_control_30m_seed1.yaml,checkpoint_unavailable,not_recorded,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_unavailable,checkpoint_unavailable; not_recorded; run_summary_missing
E003_qkv_architecture_gauntlet,standard_refactor_control_30m_seed1_rung020,standard,configs/experiments/E003_qkv_architecture_gauntlet/standard_refactor_control_30m_seed1_rung020.yaml,available,not_recorded,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits,,checkpoint_recompute_available,not_recorded; run_summary_missing
