experiment_id,run_name,attention_type,config_path,checkpoint_status,diagnostics_status,run_summary_status,gauntlet_status,promotion_status,supported_hook_sites,unsupported_hook_sites,posthoc_probe_status,notes
E004_operator_binding_qkv_gauntlet,dynamic_value_query_conditioned_attention_30m_seed2,dynamic_value_query_conditioned_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/dynamic_value_query_conditioned_attention_30m_seed2.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;static_value_content[layer];dynamic_gate[layer];dynamic_delta[layer];dynamic_value_output[layer],,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E004_operator_binding_qkv_gauntlet,dynamic_value_query_conditioned_attention_30m_seed2_rung020,dynamic_value_query_conditioned_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/dynamic_value_query_conditioned_attention_30m_seed2_rung020.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;static_value_content[layer];dynamic_gate[layer];dynamic_delta[layer];dynamic_value_output[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,dynamic_value_query_conditioned_attention_30m_seed2_rung150,dynamic_value_query_conditioned_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/dynamic_value_query_conditioned_attention_30m_seed2_rung150.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;static_value_content[layer];dynamic_gate[layer];dynamic_delta[layer];dynamic_value_output[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,dynamic_value_query_conditioned_attention_30m_seed2_rung500,dynamic_value_query_conditioned_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/dynamic_value_query_conditioned_attention_30m_seed2_rung500.yaml,available,available,missing,kill,kill,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;static_value_content[layer];dynamic_gate[layer];dynamic_delta[layer];dynamic_value_output[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,operator_valued_attention_30m_seed2,operator_valued_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/operator_valued_attention_30m_seed2.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;operator_probs[layer];operator_add_out[layer];operator_suppress_out[layer];operator_gate_out[layer];operator_transform_out[layer];operator_bind_out[layer];operator_combined_out[layer],,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E004_operator_binding_qkv_gauntlet,operator_valued_attention_30m_seed2_rung020,operator_valued_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/operator_valued_attention_30m_seed2_rung020.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;operator_probs[layer];operator_add_out[layer];operator_suppress_out[layer];operator_gate_out[layer];operator_transform_out[layer];operator_bind_out[layer];operator_combined_out[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,operator_valued_attention_30m_seed2_rung150,operator_valued_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/operator_valued_attention_30m_seed2_rung150.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;operator_probs[layer];operator_add_out[layer];operator_suppress_out[layer];operator_gate_out[layer];operator_transform_out[layer];operator_bind_out[layer];operator_combined_out[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,operator_valued_attention_30m_seed2_rung500,operator_valued_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/operator_valued_attention_30m_seed2_rung500.yaml,available,available,missing,pass,promote,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;operator_probs[layer];operator_add_out[layer];operator_suppress_out[layer];operator_gate_out[layer];operator_transform_out[layer];operator_bind_out[layer];operator_combined_out[layer],,checkpoint_recompute_available,run_summary_missing
E004_operator_binding_qkv_gauntlet,q3k3v3_role_routed_attention_30m_seed2,q3k3v3_role_routed_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/q3k3v3_role_routed_attention_30m_seed2.yaml,checkpoint_unavailable,missing,missing,missing,missing,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];operator_out[layer];binding_out[layer];content_operator_product[layer];content_binding_product[layer];operator_binding_product[layer],,checkpoint_unavailable,checkpoint_unavailable; missing; run_summary_missing
E004_operator_binding_qkv_gauntlet,q3k3v3_role_routed_attention_30m_seed2_rung020,q3k3v3_role_routed_attention,configs/experiments/E004_operator_binding_qkv_gauntlet/q3k3v3_role_routed_attention_30m_seed2_rung020.yaml,available,available,missing,needs_investigation,needs_investigation,resid_pre[layer];attn_q[layer];attn_k[layer];attn_v[layer];attn_out[layer];resid_mid[layer];mlp_out[layer];resid_post[layer];logits;content_out[layer];operator_out[layer];binding_out[layer];content_operator_product[layer];content_binding_product[layer];operator_binding_product[layer],,checkpoint_recompute_available,run_summary_missing
